zip,cust_id,place_name,county,city,state,region
73571,60124.0,Vinson,Harmon,Vinson,OK,South
32042,42485.0,Graham,Bradford,Graham,FL,South
58201,53620.0,Grand Forks,Grand Forks,Grand Forks,ND,Midwest
96764,56836.0,Laupahoehoe,Hawaii,Laupahoehoe,HI,West
82213,60125.0,Glendo,Platte,Glendo,WY,West
30638,51286.0,Farmington,Oconee,Farmington,GA,South
37245,60126.0,Nashville,Davidson,Nashville,TN,South
2889,60127.0,Warwick,Kent,Warwick,RI,Northeast
34277,60128.0,Sarasota,Sarasota,Sarasota,FL,South
62418,56449.0,Brownstown,Fayette,Brownstown,IL,Midwest
42632,60129.0,Mill Springs,Wayne,Mill Springs,KY,South
62012,60130.0,Brighton,Jersey,Brighton,IL,Midwest
85015,31655.0,Phoenix,Maricopa,Phoenix,AZ,West
72913,60131.0,Fort Smith,Sebastian,Fort Smith,AR,South
38737,15106.0,Drew,Sunflower,Drew,MS,South
68664,37011.0,Snyder,Dodge,Snyder,NE,Midwest
8076,52163.0,Riverton,Burlington,Riverton,NJ,Northeast
25714,60132.0,Huntington,Cabell,Huntington,WV,South
72019,44511.0,Benton,Benton,Benton,AR,South
91734,60133.0,El Monte,Los Angeles,El Monte,CA,West
63110,60134.0,Saint Louis,St. Louis (city),Saint Louis,MO,Midwest
58552,60135.0,Linton,Emmons,Linton,ND,Midwest
70629,6702.0,Lake Charles,Calcasieu,Lake Charles,LA,South
39345,60136.0,Newton,Newton,Newton,MS,South
77522,60137.0,Baytown,Harris,Baytown,TX,South
49267,60138.0,Ottawa Lake,Monroe,Ottawa Lake,MI,Midwest
94119,41583.0,San Francisco,San Francisco,San Francisco,CA,West
15488,46942.0,Waltersburg,Fayette,Waltersburg,PA,Northeast
24422,60139.0,Clifton Forge,Clifton Forge,Clifton Forge,VA,South
56160,59905.0,Odin,Watonwan,Odin,MN,Midwest
59761,55731.0,Wisdom,Beaverhead,Wisdom,MT,West
3907,60140.0,Ogunquit,York,Ogunquit,ME,Northeast
93218,57434.0,Ducor,Tulare,Ducor,CA,West
70128,49586.0,New Orleans,Orleans,New Orleans,LA,South
87004,60141.0,Bernalillo,Sandoval,Bernalillo,NM,West
50315,60142.0,Des Moines,Polk,Des Moines,IA,Midwest
49840,60143.0,Gulliver,Schoolcraft,Gulliver,MI,Midwest
43080,46030.0,Utica,Licking,Utica,OH,Midwest
56016,60144.0,Clarks Grove,Freeborn,Clarks Grove,MN,Midwest
18046,60145.0,East Texas,Lehigh,East Texas,PA,Northeast
29349,60146.0,Inman,Spartanburg,Inman,SC,South
58792,60147.0,Voltaire,McHenry,Voltaire,ND,Midwest
28902,44445.0,Brasstown,Clay,Brasstown,NC,South
85206,60115.0,Mesa,Maricopa,Mesa,AZ,West
73773,60148.0,Waukomis,Garfield,Waukomis,OK,South
84180,8592.0,Salt Lake City,Salt Lake,Salt Lake City,UT,West
92191,60149.0,San Diego,San Diego,San Diego,CA,West
60115,14603.0,Dekalb,DeKalb,Dekalb,IL,Midwest
60646,60150.0,Chicago,Cook,Chicago,IL,Midwest
56646,485.0,Gully,Polk,Gully,MN,Midwest
47585,32397.0,Stendal,Pike,Stendal,IN,Midwest
43941,43257.0,Piney Fork,Jefferson,Piney Fork,OH,Midwest
34221,35698.0,Palmetto,Manatee,Palmetto,FL,South
90803,60151.0,Long Beach,Los Angeles,Long Beach,CA,West
51366,60152.0,Webb,Clay,Webb,IA,Midwest
79838,58132.0,Fabens,El Paso,Fabens,TX,South
36420,57688.0,Andalusia,Covington,Andalusia,AL,South
63548,60153.0,Lancaster,Schuyler,Lancaster,MO,Midwest
61075,60154.0,Scales Mound,Jo Daviess,Scales Mound,IL,Midwest
5846,60155.0,Island Pond,Essex,Island Pond,VT,Northeast
12820,60156.0,Cleverdale,Warren,Cleverdale,NY,Northeast
19091,60157.0,Media,Delaware,Media,PA,Northeast
10537,29032.0,Lake Peekskill,Putnam,Lake Peekskill,NY,Northeast
44089,50173.0,Vermilion,Erie,Vermilion,OH,Midwest
29914,55589.0,Dale,Beaufort,Dale,SC,South
4338,2579.0,Augusta,Kennebec,Augusta,ME,Northeast
84062,48102.0,Pleasant Grove,Utah,Pleasant Grove,UT,West
60927,60158.0,Clifton,Iroquois,Clifton,IL,Midwest
57659,52373.0,Walker,Corson,Walker,SD,Midwest
93247,60159.0,Lindsay,Tulare,Lindsay,CA,West
33543,59103.0,Zephyrhills,Pasco,Zephyrhills,FL,South
92780,60160.0,Tustin,Orange,Tustin,CA,West
6533,59587.0,New Haven,New Haven,New Haven,CT,Northeast
15076,16835.0,Russellton,Allegheny,Russellton,PA,Northeast
16352,41410.0,Tiona,Warren,Tiona,PA,Northeast
71040,56216.0,Homer,Claiborne,Homer,LA,South
45631,60161.0,Gallipolis,Gallia,Gallipolis,OH,Midwest
55069,60162.0,Rush City,Chisago,Rush City,MN,Midwest
37722,9887.0,Cosby,Cocke,Cosby,TN,South
56472,60163.0,Pequot Lakes,Crow Wing,Pequot Lakes,MN,Midwest
49896,60164.0,Wilson,Menominee,Wilson,MI,Midwest
